SolarW,HouseW,BattW,GridW,BattCharge,SolarF,HouseF,BattF,GridF
6.42,1593.8,1560,0.86,97.11,60.12,60.12, 60.1,60.12
6.48,1557.4,1570,1.02,97.11,60.12,60.12, 60.1,60.12
6.21,1590.7,1600,1.22,97.11,60.12,60.12, 60.1,60.12
6.26,1593.2,1560,1.25,97.11,60.06,60.06, 60.1,60.06
6.62,1579.2,1600,0.97,97.11,60.06,60.06, 60.1,60.06
6.34,1589.3,1570,1.19, 97.1,60.06,60.06, 60.1,60.06
6.51,1588.7,1560,0.94, 97.1,60.06,60.06, 60.1,60.06
6.51,1593.1,1590,1.16, 97.1,60.06,60.06, 60.1,60.06
6.43,1602.9,1610,0.94, 97.1,60.06,60.06, 60.1,60.06
6.51,1568.8,1560,1.17, 97.1,60.06,60.06, 60.1,60.06
6.45,1596.9,1610,1.08, 97.1,60.06,60.06, 60.1,60.06
6.48,1606.6,1560,1.1, 97.1,60.06,60.06, 60.1,60.06
6.32,1586.6,1610,1.16, 97.1,60.06,60.06, 60.1,60.06
6.26,1596.5,1550,1.16, 97.1,60.06,60.06, 60.1,60.06
6.32,1591.8,1600,0.94, 97.1,60.06,60.06, 60.1,60.06
6.18,1615.1,1580,0.8, 97.1,60.06,60.06, 60.1,60.06
6.51,1584.6,1600,0.94, 97.1,60.12,60.12, 60.1,60.12
6.26,1585.7,1580,0.81, 97.1,60.12,60.12, 60.1,60.12
6.43,1596.7,1600,1.08, 97.1,60.12,60.12, 60.1,60.12
6.53,1605.4,1580,1.13, 97.1,60.12,60.12,60.11,60.12
6.56,1590.6,1580,1.32,97.09,60.12,60.12,60.11,60.12
6.4,1587.6,1560,0.96,97.09,60.12,60.12,60.11,60.12
6.34,1590.5,1600,1.16,97.09,60.12,60.12, 60.1,60.12
6.18,1610.1,1600,1.17,97.09,60.12,60.12,60.11,60.12
6.67,1576.4,1560,1.1,97.09,60.12,60.12,60.11,60.12
6.75,1609,1610,1.11,97.09,60.12,60.12,60.11,60.12
6.07,1619.5,1610,1.05,97.09,60.12,60.12,60.11,60.12
6.07,1586.1,1570,0.89,97.09,60.12,60.12,60.11,60.12
6.29,1608.3,1610,1.19,97.09,60.12,60.12,60.12,60.12
6.39,1608.6,1600,1.13,97.09,60.12,60.12,60.12,60.12
6.7,1608.2,1590,0.86,97.09,60.12,60.12,60.12,60.12
6.34,1600.4,1600,1.1,97.09,60.12,60.12,60.12,60.12
6.28,1605.6,1620,1.05,97.09,60.12,60.12,60.12,60.12
6.54,1626.6,1600,0.91,97.09,60.12,60.12,60.12,60.12
6.29,1577.9,1550,1,97.09,60.12,60.12,60.12,60.12
6.15,1578.2,1590,1.16,97.09,60.12,60.12,60.12,60.12
6.01,1617.6,1590,1.05,97.09,60.12,60.12,60.12,60.12
6.46,1573.2,1540,1.05,97.08,60.12,60.12,60.12,60.12
6.84,1588.8,1600,1.16,97.08,60.12,60.12,60.12,60.12
6.2,1606.6,1590,0.83,97.08,60.12,60.12,60.12,60.12
5.57,1582.6,1610,1.16,97.08,60.12,60.12,60.12,60.12
5.71,1597.7,1600,1.03,97.08,60.06,60.06,60.12,60.06
6.59,1590.1,1590,1,97.08,60.06,60.06,60.12,60.06
6.56,1609.7,1600,1.22,97.08,60.06,60.06,60.12,60.06
5.93,1573.1,1560,1.52,97.08,60.06,60.06,60.12,60.06
5.93,1598.5,1590,1,97.08,60.06,60.06,60.12,60.06
6.37,1590.4,1560,1.13,97.08,60.06,60.06,60.12,60.06
6.45,1566,1570,1.02,97.08,60.06,60.06,60.12,60.06
5.98,1589,1590,1.11,97.08,60.06,60.06,60.12,60.06
5.41,1576.1,1530,1.19,97.08,60.06,60.06,60.12,60.06
5.74,1539.7,1530,1.19,97.08,60.06,60.06,60.12,60.06
6.23,1522.1,1550,1.04,97.07,60.06,60.06,60.12,60.06
5.79,1549.5,1540,1.21,97.07,60.06,60.06,60.12,60.06
5.49,1537.3,1520,1.16,97.07,60.06,60.06,60.12,60.06
5.14,1528.8,1540,1.03,97.07,60.12,60.12,60.12,60.12
5.96,1544,1530,1.08,97.07,60.12,60.12,60.12,60.12
6.4,1561.3,1570,1.1,97.07,60.12,60.12,60.12,60.12
5.95,1524,1500,1.08,97.07,60.12,60.12,60.12,60.12
5.41,1517.8,1550,0.86,97.07,60.12,60.12,60.12,60.12
5.88,1561.3,1560,1.33,97.07,60.12,60.12,60.12,60.12
5.9,1530.3,1520,1.35,97.07,60.12,60.12,60.12,60.12
6.04,1524.3,1500,1.15,97.07,60.12,60.12,60.12,60.12
5.52,1508.4,1530,1.08,97.07,60.12,60.12,60.12,60.12
5.3,1550.4,1510,0.91,97.06,60.12,60.12,60.13,60.12
5.99,1505.8,1520,0.91,97.06,60.12,60.12,60.13,60.12
6.29,1554.3,1550,1.24,97.06,60.12,60.12,60.13,60.12
5.62,1532.7,1510,0.99,97.06,60.12,60.12,60.13,60.12
5.24,1526.8,1520,0.99,97.06,60.12,60.12,60.14,60.12
5.3,1540.8,1550,0.99,97.06,60.18,60.18,60.14,60.18
5.63,1562.2,1550,1.24,97.06,60.18,60.18,60.14,60.18
6.57,1502.8,1470,1.02,97.06,60.18,60.18,60.14,60.18
6.02,1544.3,1540,1.24,97.06,60.18,60.18,60.14,60.18
5.55,1546.2,1520,1.33,97.06,60.18,60.18,60.14,60.18
5.24,1515.3,1530,1.22,97.06,60.18,60.18,60.14,60.18
5.69,1541.2,1550,0.99,97.06,60.18,60.18,60.14,60.18
5.93,1531.4,1510,0.97,97.06,60.18,60.18,60.14,60.18
5.66,1538.9,1540,1.21,97.05,60.18,60.18,60.14,60.18
5.35,1543.5,1540,1.08,97.05,60.18,60.18,60.14,60.18
5.63,1525.9,1530,1.11,97.05,60.18,60.18,60.14,60.18
6.21,1536.5,1550,1.05,97.05,60.18,60.18,60.14,60.18
5.55,1548.6,1510,1.16,97.05,60.12,60.12,60.14,60.12
5.58,1530.8,1570,1.22,97.04,60.12,60.12,60.14,60.12
6.15,1531,1550,1.16,97.04,60.12,60.12,60.14,60.12
6.07,1592.8,1590,1.19,97.04,60.12,60.12,60.14,60.12
5.63,1618.6,1590,0.94,97.04,60.12,60.12,60.14,60.12
5.36,1586.3,1600,0.97,97.04,60.12,60.12,60.14,60.12
6.18,1605.2,1610,1.08,97.04,60.12,60.12,60.14,60.12
6.54,1593.1,1580,1.11,97.04,60.12,60.12,60.14,60.12
6.1,1694,1620,0.83,97.04,60.12,60.12,60.14,60.12
5.36,1576.8,1580,1.16,97.04,60.12,60.12,60.14,60.12
5.87,1597.8,1650,1.3,97.04,60.12,60.12,60.14,60.12
6.51,1661.5,1600,1.11,97.04,60.12,60.12,60.14,60.12
6.78,1577.4,1600,1.16,97.04,60.12,60.12,60.14,60.12
5.99,1630.5,1630,1.05,97.03,60.12,60.12,60.14,60.12
5.57,1631.1,1690,0.82,97.03,60.12,60.12,60.14,60.12
6.2,1551.7,1560,1.29,97.02,60.12,60.12,60.13,60.12
6.02,1540.6,1530,1.13,97.02,60.12,60.12,60.13,60.12
5.68,1540.5,1530,0.97,97.02,60.12,60.12,60.13,60.12
5.99,1543.5,1550,1.1,97.01,60.12,60.12,60.13,60.12
6.81,1517.7,1530,1.16,97.01,60.12,60.12,60.13,60.12
6.26,1580.1,1570,1.14,97.01,60.12,60.12,60.13,60.12
5.88,1548.1,1530,1.05,97.01,60.12,60.12,60.13,60.12
6.01,1528.3,1550,1.08,97.01,60.12,60.12,60.13,60.12
